kode,nama,tipe,nature,sub_nature,laporan,psak_ref,keterangan
5110,Modal Disetor - Pemilik,Ekuitas,Modal,Modal,Neraca,,Owner capital
5200,Prive,Ekuitas,Modal,Modal,Neraca,,Owner drawing (debit balance)
5300,Laba (Rugi) Ditahan,Ekuitas,Modal,Modal,Neraca,,Retained earnings
5400,Laba (Rugi) Berjalan,Ekuitas,Modal,Modal,Neraca,,Current year P&L
6000,PENDAPATAN,Pendapatan,Operasional,Pendapatan,Laba Rugi,PSAK 72,Revenue group
6100,Pendapatan Penjualan,Pendapatan,Operasional,Pendapatan,Laba Rugi,,Sales revenue
6110,Pendapatan Penjualan Tunai,Pendapatan,Operasional,Pendapatan,Laba Rugi,,Cash sales
6120,Pendapatan Penjualan Kredit,Pendapatan,Operasional,Pendapatan,Laba Rugi,,Credit sales
6200,Pendapatan Jasa,Pendapatan,Operasional,Pendapatan,Laba Rugi,,Service revenue
6300,Pendapatan Lain-lain,Pendapatan,Operasional,Pendapatan,Laba Rugi,,Other income
6310,Pendapatan Bunga,Pendapatan,Operasional,Pendapatan,Laba Rugi,,Interest income
6320,Pendapatan Diskon,Pendapatan,Operasional,Pendapatan,Laba Rugi,,Discount received
6400,Pendapatan Diluar Biasa,Pendapatan,Diluar Biasa,Pendapatan,Laba Rugi,,Extraordinary income
6410,Pendapatan Selisih Kurs,Pendapatan,Diluar Biasa,Pendapatan,Laba Rugi,,FX gain
6420,Laba Penjualan Aset,Pendapatan,Diluar Biasa,Pendapatan,Laba Rugi,,Gain on asset disposal
7000,HARGA POKOK PENJUALAN,Beban,Operasional,HPP,Laba Rugi,,COGS group
7100,HPP Barang Dagangan,Beban,Operasional,HPP,Laba Rugi,,Merchandise COGS
8000,BEBAN OPERASIONAL,Beban,Operasional,Beban,Laba Rugi,,Opex group
8100,Beban Gaji & Tunjangan,Beban,Operasional,Beban,Laba Rugi,PSAK 68,Compensation
8110,Beban Gaji,Beban,Operasional,Beban,Laba Rugi,,Salary expense
8120,Beban Tunjangan Makan,Beban,Operasional,Beban,Laba Rugi,,Meal allowance
8130,Beban Tunjangan Transport,Beban,Operasional,Beban,Laba Rugi,,Transport allowance
8200,Beban Sewa,Beban,Operasional,Beban,Laba Rugi,PSAK 73,Rent/lease expense
8210,Beban Sewa Bangunan,Beban,Operasional,Beban,Laba Rugi,,Building rent
8220,Beban Sewa Kendaraan,Beban,Operasional,Beban,Laba Rugi,,Vehicle lease
8300,Beban Utilitas,Beban,Operasional,Beban,Laba Rugi,,Utilities
8310,Beban Listrik,Beban,Operasional,Beban,Laba Rugi,,Electricity
8320,Beban Air,Beban,Operasional,Beban,Laba Rugi,,Water
8330,Beban Telepon & Internet,Beban,Operasional,Beban,Laba Rugi,,Communication
8400,Beban Transportasi & Perjalanan Dinas,Beban,Operasional,Beban,Laba Rugi,,Travel & transport
8410,Beban BBM,Beban,Operasional,Beban,Laba Rugi,,Fuel
8420,Beban Parkir & Tol,Beban,Operasional,Beban,Laba Rugi,,Parking & toll
8430,Beban Perjalanan Dinas,Beban,Operasional,Beban,Laba Rugi,,Business travel
8500,Beban Perlengkapan Kantor,Beban,Operasional,Beban,Laba Rugi,,Office supplies
8600,Beban Pemasaran,Beban,Operasional,Beban,Laba Rugi,,Marketing
8610,Beban Iklan & Promosi,Beban,Operasional,Beban,Laba Rugi,,Advertising
8620,Beban Komisi Marketplace,Beban,Operasional,Beban,Laba Rugi,,Marketplace fee
8630,Beban Diskon Penjualan,Beban,Operasional,Beban,Laba Rugi,,Sales discount
8700,Beban Penyusutan,Beban,Operasional,Beban,Laba Rugi,PSAK 16,Depreciation
8710,Beban Penyusutan Bangunan,Beban,Operasional,Beban,Laba Rugi,,
8720,Beban Penyusutan Kendaraan,Beban,Operasional,Beban,Laba Rugi,,
8730,Beban Penyusutan Peralatan Produksi,Beban,Operasional,Beban,Laba Rugi,,
8740,Beban Penyusutan Peralatan Kantor,Beban,Operasional,Beban,Laba Rugi,,
8750,Beban Penyusutan Mesin,Beban,Operasional,Beban,Laba Rugi,,
8760,Beban Penyusutan Furniture,Beban,Operasional,Beban,Laba Rugi,,
8800,Beban Amortisasi,Beban,Operasional,Beban,Laba Rugi,ISAK 35,Amortization
8810,Beban Amortisasi Software,Beban,Operasional,Beban,Laba Rugi,,
8900,Beban Asuransi,Beban,Operasional,Beban,Laba Rugi,,Insurance
8910,Beban Asuransi Kendaraan,Beban,Operasional,Beban,Laba Rugi,,
8920,Beban Asuransi Kebakaran,Beban,Operasional,Beban,Laba Rugi,,
9000,Beban Jasa Profesional,Beban,Operasional,Beban,Laba Rugi,,Professional fees
9010,Beban Konsultan,Beban,Operasional,Beban,Laba Rugi,,Consulting
9020,Beban Akuntan,Beban,Operasional,Beban,Laba Rugi,,Accounting fees
9030,Beban Notaris/Legal,Beban,Operasional,Beban,Laba Rugi,,Legal fees
9100,Beban Pemeliharaan,Beban,Operasional,Beban,Laba Rugi,,Maintenance
9110,Beban Pemeliharaan Kendaraan,Beban,Operasional,Beban,Laba Rugi,,
9120,Beban Pemeliharaan Gedung,Beban,Operasional,Beban,Laba Rugi,,
9130,Beban Pemeliharaan Peralatan,Beban,Operasional,Beban,Laba Rugi,,
9200,Beban Bunga,Beban,Operasional,Beban,Laba Rugi,PSAK 73,Interest
9300,Beban Pajak,Beban,Operasional,Beban,Laba Rugi,,Tax expense
9310,Beban PPh,Beban,Operasional,Beban,Laba Rugi,,Income tax expense
9320,Beban PPN Tidak Dapat Dikredit,Beban,Operasional,Beban,Laba Rugi,,Non-deductible VAT
9330,Beban Pajak Daerah,Beban,Operasional,Beban,Laba Rugi,,Local tax
9400,Beban Lain-lain,Beban,Operasional,Beban,Laba Rugi,,Misc expense
9500,Beban Rugi Diluar Biasa,Beban,Diluar Biasa,Beban,Laba Rugi,,Extraordinary loss
9510,Beban Selisih Kurs,Beban,Diluar Biasa,Beban,Laba Rugi,,FX loss
9520,Rugi Penjualan Aset,Beban,Diluar Biasa,Beban,Laba Rugi,,Loss on asset disposal
9530,Beban Penurunan Nilai Aset,Beban,Diluar Biasa,Beban,Laba Rugi,PSAK 36,Impairment loss
